	subjects	classes	status	B0	Dice	HD95
0	sub_1	3rd-A2	without_pp			
1	sub_2	3rd-A2	without_pp			
2	sub_3	3rd-A2	without_pp			
3	sub_4	3rd-A2	without_pp			
4	sub_5	3rd-A2	without_pp			
5	sub_6	3rd-A2	without_pp			
6	sub_7	3rd-A2	without_pp			
7	sub_8	3rd-A2	without_pp			
8	sub_9	3rd-A2	without_pp			
9	sub_10	3rd-A2	without_pp			
10	sub_11	3rd-A2	without_pp			
11	sub_12	3rd-A2	without_pp	1.0	0.0	90.0
12	sub_13	3rd-A2	without_pp			
13	sub_14	3rd-A2	without_pp			
14	sub_15	3rd-A2	without_pp			
15	sub_16	3rd-A2	without_pp			
16	sub_17	3rd-A2	without_pp			
17	sub_18	3rd-A2	without_pp			
18	sub_19	3rd-A2	without_pp			
19	sub_20	3rd-A2	without_pp	0.0	0.8047808764940239	0.5
20	sub_1	Acom	without_pp	0.0	0.9087656529516995	0.3571434020996094
21	sub_2	Acom	without_pp	0.0	0.6010362694300518	0.7139284789562225
22	sub_3	Acom	without_pp	0.0	0.7381546134663342	1.129384160041809
23	sub_4	Acom	without_pp	0.0	0.6262135922330097	1.1293845176696777
24	sub_5	Acom	without_pp	0.0	0.6022845275181724	1.5150603890419005
25	sub_6	Acom	without_pp	1.0	0.0	90.0
26	sub_7	Acom	without_pp			
27	sub_8	Acom	without_pp	0.0	0.8308207705192631	0.3571434020996094
28	sub_9	Acom	without_pp	0.0	0.8086642599277979	0.5050767064094543
29	sub_10	Acom	without_pp	1.0	0.0	90.0
30	sub_11	Acom	without_pp	1.0	0.27777777777777773	0.9386904686689374
31	sub_12	Acom	without_pp	0.0	0.8473520249221184	0.3571434020996094
32	sub_13	Acom	without_pp	0.0	0.8582995951417004	0.5000033020973206
33	sub_14	Acom	without_pp	0.0	0.88	0.35714292526245117
34	sub_15	Acom	without_pp	0.0	0.3945578231292517	1.7995039582252497
35	sub_16	Acom	without_pp	0.0	0.8201058201058201	0.3571434020996094
36	sub_17	Acom	without_pp	0.0	0.8456375838926175	0.3571434020996094
37	sub_18	Acom	without_pp	0.0	0.6265060240963854	0.6433272600173947
38	sub_19	Acom	without_pp	0.0	0.2577777777777778	1.413401269912719
39	sub_20	Acom	without_pp	0.0	0.346938775510204	1.515228509902954
40	sub_1	BA	without_pp	0.0	0.9575389948006933	0.3571434020996094
41	sub_2	BA	without_pp	1.0	0.0	90.0
42	sub_3	BA	without_pp	0.0	0.9282550930026573	0.5000038146972656
43	sub_4	BA	without_pp	0.0	0.9472592592592592	0.3571434020996094
44	sub_5	BA	without_pp	0.0	0.9214137214137215	0.3571434020996094
45	sub_6	BA	without_pp	0.0	0.9331810394060537	0.3571434020996094
46	sub_7	BA	without_pp	0.0	0.8766233766233766	0.3571434020996094
47	sub_8	BA	without_pp	0.0	0.9103758432380341	0.8572360515594449
48	sub_9	BA	without_pp	0.0	0.9594298245614035	0.3571434020996094
49	sub_10	BA	without_pp	0.0	0.9404517453798769	0.3571434020996094
50	sub_11	BA	without_pp	0.0	0.9298352654057352	0.3571434020996094
51	sub_12	BA	without_pp	0.0	0.9144933732364258	0.9999933838844299
52	sub_13	BA	without_pp	0.0	0.9172826469552974	0.3571434020996094
53	sub_14	BA	without_pp	0.0	0.9600818833162743	0.3571434020996094
54	sub_15	BA	without_pp	0.0	0.93993993993994	0.3571434020996094
55	sub_16	BA	without_pp	0.0	0.8745519713261649	1.0000054836273193
56	sub_17	BA	without_pp	0.0	0.750620347394541	2.2300169467926025
57	sub_18	BA	without_pp	0.0	0.9185303514376997	0.4999990463256836
58	sub_19	BA	without_pp	0.0	0.9515418502202644	0.3571434020996094
59	sub_20	BA	without_pp	0.0	0.8427212874908558	1.2594086647033702
60	sub_1	ClsAvgB0err	without_pp	0.3333333333333333	0.7751204537552588	15.59618716885646
61	sub_2	ClsAvgB0err	without_pp	0.45454545454545453	0.4605655007004152	18.313524302027442
62	sub_3	ClsAvgB0err	without_pp	0.3333333333333333	0.8080386169809013	8.270356490214665
63	sub_4	ClsAvgB0err	without_pp	0.09090909090909091	0.8186953923599858	8.615658369931309
64	sub_5	ClsAvgB0err	without_pp	0.0	0.8050636695081645	1.2649642040332159
65	sub_6	ClsAvgB0err	without_pp	0.2727272727272727	0.8135898654783397	9.10625281008807
66	sub_7	ClsAvgB0err	without_pp	0.0	0.8699107432306826	0.4841292169358995
67	sub_8	ClsAvgB0err	without_pp	0.16666666666666666	0.8144063479155735	8.184732433160146
68	sub_9	ClsAvgB0err	without_pp	0.1	0.9237471012427676	1.1978262066841123
69	sub_10	ClsAvgB0err	without_pp	1.1818181818181819	0.685748332343384	17.707772890004247
70	sub_11	ClsAvgB0err	without_pp	0.16666666666666666	0.8287056165838167	0.9544385698934393
71	sub_12	ClsAvgB0err	without_pp	0.46153846153846156	0.7788983760905356	8.085316147254064
72	sub_13	ClsAvgB0err	without_pp	0.3333333333333333	0.8047789547143157	8.89284342924754
73	sub_14	ClsAvgB0err	without_pp	0.08333333333333333	0.9137952131074405	0.41472261150677997
74	sub_15	ClsAvgB0err	without_pp	0.45454545454545453	0.762362281829184	1.2256953583522265
75	sub_16	ClsAvgB0err	without_pp	0.08333333333333333	0.8475649343895114	0.8984150444467863
76	sub_17	ClsAvgB0err	without_pp	0.16666666666666666	0.8328530756052818	1.5550027862191194
77	sub_18	ClsAvgB0err	without_pp	0.2	0.8602793117899201	0.5956260481476785
78	sub_19	ClsAvgB0err	without_pp	0.09090909090909091	0.8397993781211066	0.5517404534599998
79	sub_20	ClsAvgB0err	without_pp	0.07692307692307693	0.8556222025787064	0.6855306613903779
80	sub_1	L-ACA	without_pp	0.0	0.8905516804058338	3.3873147487640227
